id,session_id,timestamp,delta_raw,theta_raw,alpha1_raw,alpha2_raw,beta1_raw,beta2_raw,gamma1_raw,gamma2_raw,alpha_norm,beta_norm,theta_norm,delta_norm,gamma_norm,meditation_score,distraction,subtle_distraction,sinking,shamatha_score,stability,calmness
1857,21,0.49369192123413086,202.3855832509221,141.72254683348658,67.84861353965036,28.904136659229962,104.746285257813,121.23148659276538,31.846507607036976,23.85171335616336,0.1337219342875152,0.3123237809336385,0.19587467080544138,0.2797170272533859,0.07698048715165898,17.113719003123673,68.2011114958326,0.0,29.44003176700098,12.36871720482394,0.0,0.34227438006247346
1858,21,0.9992966651916504,66.11769148498401,73.52786939748196,0.0,71.43194072906267,182.75917393005025,142.45287800233675,61.75309178134919,34.63107296585251,0.12391937698918186,0.4061196009524182,0.1585976543336621,0.19783464440936538,0.11205511265193471,11.923388491995066,96.32017168407292,0.0,15.992312661519149,7.419860315605009,6.734882703688138,0.2384677698399013
1859,21,1.5046682357788086,134.114706476022,138.59211529786953,28.296286910349373,62.541300035294654,182.97447759876488,100.48852065769229,62.21486255213731,36.3402755103639,0.12312272335292958,0.39674088787781797,0.1681942436672854,0.1913789915084602,0.11913714432090264,11.900421558929047,96.38742434069155,0.0,16.514318253860377,7.450907501168735,6.013169837379249,0.23800843117858092
1860,21,2.003434658050537,53.017489923198696,135.5550371579193,158.03222736893116,48.94084402088968,160.23141315698805,186.9934124730449,48.642879012979854,41.179435190432514,0.15864395827301325,0.4023596984756503,0.16661103504226052,0.15511703021226236,0.11590651369145055,15.265147899655105,81.42848138014384,0.0,13.519285196451673,8.618197496591614,5.001530184228273,0.3053029579931021
1861,21,2.4989583492279053,75.14355848142264,116.77777368520323,99.25258090210222,22.508040341778774,270.01433141155906,181.23206965716778,67.4889172175987,38.84380049148395,0.15428176530055585,0.4286834568037674,0.1591167195155785,0.13932572323013387,0.11727987068305809,14.095431185598583,88.2651648096606,0.0,12.148709112683694,8.74086184644724,4.001544728488971,0.2819086237119717
1862,21,2.9956727027893066,153.50660490163597,157.8087816195,121.41208384303638,39.965727778328436,93.12615544357296,69.2042625667213,49.506507421354435,43.19639014054837,0.17101242404709563,0.41141602981002345,0.16311703665935084,0.126323255708185,0.12682057477275954,15.84776990356561,77.67507165109612,0.0,11.833181066098371,9.381030449645804,3.778714253728017,0.3169553980713122
1863,21,3.4934685230255127,130.59315416903138,99.27150825640963,113.92187676541361,50.75449426145771,197.5724625753742,145.6122370324202,68.81207589756012,37.24405603697935,0.18520601140056803,0.39430676114534124,0.1609581049803563,0.13571428926735274,0.12257288251677358,17.872832692130793,63.28568174854209,0.0,12.14979126993297,9.650141463395464,4.751943044442032,0.3574566538426159
1864,21,3.9916181564331055,118.14078816209148,163.2111055113047,40.97750899940399,20.3465065144319,185.502495479618,159.53167623715393,51.57653698251058,28.235820214495675,0.17691015350723838,0.40737833902452336,0.16616684223000686,0.13103179672162882,0.1172776554459841,16.820033399531933,70.89316184062179,0.0,12.080329779862849,9.38386021397898,4.5782184565954145,0.33640066799063867
1865,21,4.488064289093018,121.74667375178092,65.99141567012434,0.0,106.39259439347478,209.33132871282308,126.1489060590939,59.628985524751286,22.338333996931546,0.156748604836799,0.4169417047620685,0.15357283669239355,0.15257208923974633,0.11889148579204216,14.591949065629889,85.59139702316388,0.0,12.618929485865827,8.7636113101693,4.095508771804668,0.2918389813125978
1866,21,4.983083963394165,152.1822335877831,114.22795798758764,180.44623268468536,106.1516316586829,160.2915584423218,89.43494756451024,54.30261685579082,29.987432426010855,0.1979308053911991,0.3641616624057579,0.15231208879593314,0.17150197351117336,0.11282528207444098,20.69301425356579,44.745714000811866,0.0,13.582358801649917,9.76012632688363,6.554062167662659,0.4138602850713158
1867,21,5.488147258758545,70.83193831193181,109.23992134349366,163.91573116157724,56.84330551200712,198.0036568587841,122.96110487538196,51.6120210738374,15.392271261205813,0.2097430856921848,0.39822852493839234,0.13785771401247318,0.14823631518050878,0.10468551757342169,20.801123196961598,44.20466625415528,0.0,11.296699189656751,10.304111691582216,8.183292218856248,0.4160224639392319
